IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.9,,,0.5,,1.3,0.9 [0.5 – 1.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.9,,,0.6,,1.3,0.9 [0.6 – 1.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1,,,0.7,,1.4,1 [0.7 – 1.4],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.2,,,0.8,,1.7,1.2 [0.8 – 1.7],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.3,,,0.7,,2.1,1.3 [0.7 – 2.1],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.3,,,0.7,,2,1.3 [0.7 – 2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.3,,,0.8,,1.9,1.3 [0.8 – 1.9],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,DZA,Algeria,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.4,,,0.7,,2.2,1.4 [0.7 – 2.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.4,,,0.9,,2,1.4 [0.9 – 2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,GMB,Gambia,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.5,,,1,,2.1,1.5 [1 – 2.1],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.6,,,0.6,,3,1.6 [0.6 – 3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,TGO,Togo,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.6,,,1,,2.3,1.6 [1 – 2.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.6,,,1.2,,1.9,1.6 [1.2 – 1.9],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,MLI,Mali,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.7,,,0.7,,2.6,1.7 [0.7 – 2.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,LBR,Liberia,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.8,,,1.1,,2.6,1.8 [1.1 – 2.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,CHN,China,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.8,,,1.3,,2.3,1.8 [1.3 – 2.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,BEN,Benin,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,1.9,,,1.2,,2.6,1.9 [1.2 – 2.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,BWA,Botswana,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,10.1,,,7.5,,13,10.1 [7.5 – 13],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,BLR,Belarus,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,10.4,,,8.4,,12.8,10.4 [8.4 – 12.8],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,10.5,,,8.5,,12.5,10.5 [8.5 – 12.5],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,NOR,Norway,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,10.5,,,8.8,,12.5,10.5 [8.8 – 12.5],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,10.7,,,7.3,,14.2,10.7 [7.3 – 14.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,10.7,,,7.5,,14.9,10.7 [7.5 – 14.9],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,10.9,,,5.7,,17.3,10.9 [5.7 – 17.3],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,11,,,5.9,,17.4,11 [5.9 – 17.4],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,11,,,7.2,,14.6,11 [7.2 – 14.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,11.1,,,6.1,,18,11.1 [6.1 – 18],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,PAN,Panama,Year,2018,true,Sex,Male,MLE,,,,,,,,,,11.1,,,6.4,,16.9,11.1 [6.4 – 16.9],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2018,true,Sex,Male,MLE,,,,,,,,,,11.2,,,6,,17.8,11.2 [6 – 17.8],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,11.2,,,7,,17.2,11.2 [7 – 17.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,BRA,Brazil,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,11.5,,,7.6,,15.6,11.5 [7.6 – 15.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,TCD,Chad,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,11.8,,,7.5,,17.3,11.8 [7.5 – 17.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,11.8,,,9.1,,14.8,11.8 [9.1 – 14.8],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,MLI,Mali,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,12,,,7.9,,17.1,12 [7.9 – 17.1],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,12.1,,,8.2,,16.8,12.1 [8.2 – 16.8],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,SEAR,South-East Asia,Country,IND,India,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,12.1,,,8.3,,15.5,12.1 [8.3 – 15.5],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,GUY,Guyana,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,12.2,,,8.4,,17.1,12.2 [8.4 – 17.1],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,COL,Colombia,Year,2018,true,Sex,Male,MLE,,,,,,,,,,12.2,,,9.2,,15.2,12.2 [9.2 – 15.2],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,12.3,,,8.1,,17.4,12.3 [8.1 – 17.4],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,BEN,Benin,Year,2018,true,Sex,Male,MLE,,,,,,,,,,12.4,,,8.9,,15.8,12.4 [8.9 – 15.8],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,CAN,Canada,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,12.4,,,9.7,,15.7,12.4 [9.7 – 15.7],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,BDI,Burundi,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,12.6,,,8.6,,17,12.6 [8.6 – 17],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,12.7,,,7.7,,19,12.7 [7.7 – 19],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,MWI,Malawi,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,12.8,,,10,,16.2,12.8 [10 – 16.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,12.8,,,8.8,,17.2,12.8 [8.8 – 17.2],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,NOR,Norway,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,13,,,10.9,,15.5,13 [10.9 – 15.5],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,13,,,5.6,,23.6,13 [5.6 – 23.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,HTI,Haiti,Year,2018,true,Sex,Male,MLE,,,,,,,,,,13.3,,,0,,0,13.3 [0 – 0],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,13.3,,,9,,17.4,13.3 [9 – 17.4],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,13.3,,,9.3,,17.4,13.3 [9.3 – 17.4],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,TGO,Togo,Year,2018,true,Sex,Male,MLE,,,,,,,,,,13.5,,,10,,17.2,13.5 [10 – 17.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,13.5,,,11.1,,16.1,13.5 [11.1 – 16.1],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,13.6,,,11.1,,16.4,13.6 [11.1 – 16.4],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,ISL,Iceland,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,13.7,,,9.5,,17.6,13.7 [9.5 – 17.6],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,ISL,Iceland,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,13.8,,,9.3,,18.3,13.8 [9.3 – 18.3],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,MEX,Mexico,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,13.9,,,11.1,,16.8,13.9 [11.1 – 16.8],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,ISL,Iceland,Year,2018,true,Sex,Male,MLE,,,,,,,,,,13.9,,,9.1,,18.9,13.9 [9.1 – 18.9],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,13.9,,,9.2,,18.5,13.9 [9.2 – 18.5],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,14,,,10.2,,18.5,14 [10.2 – 18.5],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,14,,,10.3,,17.7,14 [10.3 – 17.7],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2018,true,Sex,Male,MLE,,,,,,,,,,14.2,,,8.6,,20.2,14.2 [8.6 – 20.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,14.4,,,10.1,,19,14.4 [10.1 – 19],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,GMB,Gambia,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,14.4,,,10.9,,18.2,14.4 [10.9 – 18.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,CUB,Cuba,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,14.5,,,7.6,,23,14.5 [7.6 – 23],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,14.7,,,10.9,,18.5,14.7 [10.9 – 18.5],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,14.7,,,11.3,,18.3,14.7 [11.3 – 18.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2018,true,Sex,Male,MLE,,,,,,,,,,14.7,,,9.8,,20.2,14.7 [9.8 – 20.2],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,14.8,,,12.2,,17.6,14.8 [12.2 – 17.6],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,BRB,Barbados,Year,2018,true,Sex,Male,MLE,,,,,,,,,,15,,,8.8,,22.3,15 [8.8 – 22.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,LBR,Liberia,Year,2018,true,Sex,Male,MLE,,,,,,,,,,15.1,,,11,,19.6,15.1 [11 – 19.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,15.3,,,11.1,,19.4,15.3 [11.1 – 19.4],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,ARG,Argentina,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,15.4,,,10.6,,20.1,15.4 [10.6 – 20.1],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,15.5,,,10.5,,20.5,15.5 [10.5 – 20.5],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2018,true,Sex,Both sexes,BTSX,,,,,,,,,,15.5,,,11.1,,19.9,15.5 [11.1 – 19.9],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,UGA,Uganda,Year,2018,true,Sex,Male,MLE,,,,,,,,,,15.5,,,11.9,,19.3,15.5 [11.9 – 19.3],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,NOR,Norway,Year,2018,true,Sex,Male,MLE,,,,,,,,,,15.5,,,13,,18.5,15.5 [13 – 18.5],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,PER,Peru,Year,2018,true,Sex,Male,MLE,,,,,,,,,,15.6,,,11.7,,20.2,15.6 [11.7 – 20.2],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,15.7,,,12.4,,19,15.7 [12.4 – 19],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
